date,time,zipcode_id,alimentos,restaurantes,hoteles,ocio,health_goods,aerolineas,servicios,bienes,gasolina,total
20250510,20,2830,1100.45,,,,13384.5,,,14484.95,,14484.95
20250514,14,1290,4906.49,,,,,,,4906.49,,4906.49
20250517,15,16001,1518.0,,,,,,,1518.0,,1518.0
20250516,0,14490,,,,,5920.25,,536.75,44644.55,,47647.26
20250523,15,1620,25453.24,,,,,,,27814.54,,27814.54
20250603,4,11870,104.0,,,,12552.3,,,16918.61,,19017.98
20250611,21,3800,9055.54,,,,33125.0,,204415.0,75778.54,,282754.24
20250528,18,11400,4432.2,3499.6,,,10342.5,,3499.6,14774.7,,18274.3
20250530,19,1290,6761.81,,,,,,,6761.81,,6761.81
20250606,11,7000,3105.56,,,,,,42697.59,19943.66,11488.12,62641.25
20250612,9,3800,9780.49,1979.0,,,10043.52,,267745.0,26083.01,,293828.01
20250522,0,11550,26812.51,599852.49,7529.41,46494.0,5689.21,,1712852.64,658644.59,,2371497.23
20250512,19,11529,3474.5,,,,,,533698.45,1156483.83,,1690182.28
20250526,13,3720,4533.74,8516.1,,,,,17603.43,4533.74,,22137.17
20250531,8,13200,2549.2,752.0,,,,,,3301.2,,3301.2
20250602,12,6760,12458.05,,,,52407.56,,11393.0,69489.61,,80882.61
20250601,0,11800,3851.4,217792.22,191785.0,,4647.9,,740262.55,370094.31,95080.16,1110356.86
20250517,13,15530,24337.02,7436.71,,,2219.17,,9261.71,54251.15,,67679.56
20250602,0,7650,313.5,4682.0,,,,,6197.0,11298.51,,17495.51
20250522,20,3300,63287.04,1222.4,,,36476.0,,1222.4,147577.18,39577.14,148799.58
20250519,16,2830,1670.0,,,,34740.5,,,36410.5,,36410.5
20250511,22,6720,19336.26,5506.25,,,4300.3,,112860.25,23636.56,,136496.81
20250510,9,6700,35649.58,25761.3,,,16863.18,,271407.73,66528.35,,337936.08
20250606,8,15430,354.0,,,,,,5047.0,354.0,,5401.0
20250508,11,15900,46570.46,,,,42588.61,,14413.9,89159.07,,103572.97
20250603,5,6100,3137.01,2236.75,,,9077.1,,,18839.36,,18839.36
20250530,14,9450,1274.0,7752.4,,,23552.0,,7752.4,24826.0,,32578.4
20250613,0,15620,14409.4,553824.84,,,,372702.58,1053721.42,650728.48,,1704449.9
20250612,2,2940,126.28,223.0,,,,,,406.28,,406.28
20250518,23,9040,1714.0,1532.19,1130.47,,,,2662.66,1714.0,,4376.66
20250509,10,3600,2024.55,3553.5,,,4521.55,,6615.89,6567.7,,13183.59
20250613,21,9310,2011.5,,,,5169.11,,,7180.61,,7180.61
20250613,7,6720,12605.4,823.5,,,10525.27,,127085.0,23954.17,,151039.17
20250507,0,15820,100979.74,62589.57,5120.0,,1423.0,,67709.57,220771.58,,289844.35
20250515,0,14080,7270.5,47265.45,,,850.0,,172111.15,21892.5,,206049.56
20250529,9,6030,9147.45,10033.4,788.8,,2491.16,,34683.2,12033.61,,46716.81
20250611,4,6100,3166.0,914.5,,,3040.2,,2222.0,14422.1,,16644.1
20250605,18,6600,48510.8,515.0,4464.0,,11166.19,136502.08,2927349.0,142478.31,,3075597.31
20250517,13,4920,19884.72,12165.27,,,,,12797.31,140196.64,,152993.95
20250531,6,3800,14264.09,571.0,,,3198.86,,84925.0,35769.66,,120694.66
20250520,3,14700,2410.46,120.0,,,,,,2530.46,,2530.46
20250602,18,9310,5412.64,,,,2103.03,,,7515.67,,7515.67
20250510,0,15740,6958.5,2314.0,,,17950.0,,237442.0,29968.5,,267615.5
20250605,0,2430,,80272.04,,,,,133492.54,5434.2,,138926.74
20250613,2,14420,641.2,,,,1203.2,,,3473.5,,3473.5
20250527,0,1180,4857.0,58246.97,,1180.0,84615.0,,106871.96,464501.81,,571373.77
20250504,14,11870,43131.23,,,,4934.59,,,84834.47,,93222.66
20250508,22,3720,5449.31,1003.3,,,,,1003.3,5449.31,,6452.61
20250523,0,2800,38206.63,200408.0,,,19215.75,,326038.0,203183.89,,533021.89
20250526,18,16740,73051.22,,,,,,,73051.22,,73051.22
20250508,16,11320,52237.82,,,,7821.61,,1268693.18,210574.88,,1479268.06
20250505,15,9640,4899.33,,,,,,,4899.33,,4899.33
20250507,18,15530,16165.23,13393.3,,,6496.06,,28653.3,58874.04,,91469.47
20250505,12,3600,3937.2,5840.45,,,3975.31,,17487.45,8480.51,,25967.96
20250606,11,15430,2407.1,,,,,,,2407.1,,2407.1
20250512,14,1040,1665.4,192876.63,,,23530.26,,192876.63,130202.36,,323078.99
20250611,16,5500,991.0,,,,,,1961.0,991.0,,2952.0
20250515,14,16740,24093.47,,,,,,,24093.47,,24093.47
20250516,11,11520,38072.53,15417.6,,,37531.0,,964794.9,567498.94,,1532293.84
20250518,0,14090,3114.12,107728.33,8695.0,,101622.5,,184272.85,401996.31,,588260.16
20250529,23,1180,4798.34,,,,446.5,,,5244.84,,5244.84
20250528,10,11000,30231.28,7661.5,,2074.0,39625.07,,617469.4,171766.12,,789235.52
20250607,22,6100,18200.22,4306.6,,,14041.51,,4306.6,32241.73,,36548.33
20250613,18,16001,1568.98,,,,,,,1568.98,,1568.98
20250518,22,9450,3100.0,4617.0,,,4262.5,,4617.0,7362.5,,11979.5
20250530,12,1900,42845.0,148.0,,,21893.4,,198769.66,406659.58,,605429.24
20250518,6,9800,6575.0,4001.5,,,972.5,,719.0,25230.98,13681.98,26251.91
20250506,9,5348,21530.42,,,14899.99,7010.07,,148073.54,818029.95,,966103.49
20250603,23,2320,185.0,,,,,,,185.0,,185.0
20250518,0,11800,4596.76,398999.83,168915.0,,24068.73,,872230.08,366279.12,93758.8,1238509.2
20250521,19,2320,334.0,,,,,,,334.0,,334.0
20250610,14,9450,751.0,6953.2,,,20793.0,,6953.2,21544.0,,28497.2
20250530,14,3800,7506.14,,,,27148.5,,555687.0,62697.64,,621894.54
20250504,0,1618,21514.5,31739.9,,,,,32689.9,109491.55,,142181.45
20250531,10,7320,3913.33,4339.68,,,1865.02,,4339.68,68868.1,,73207.78
20250525,9,1620,12344.14,,,,,,,12344.14,,12344.14
20250530,11,13200,1706.28,778.0,,,,,,2484.28,,2484.28
20250601,22,15400,2316.0,,,,,,,2316.0,,2316.0
20250603,1,6600,12464.59,5024.5,9796.89,,16624.24,,150874.83,50651.53,,201526.36
20250604,23,6600,8255.96,157.0,,7320.0,1230.98,96507.67,661271.98,9668.94,,670940.92
20250502,0,6470,10958.5,533796.42,145659.26,,23988.87,,775307.68,344678.62,222822.86,1126931.3
20250514,0,6600,95831.7,2295144.29,808143.55,227205.0,45072.9,269714.18,21737628.88,2860856.22,,24607248.1
20250524,0,15740,4617.0,2625.5,,,,,226727.5,9909.0,,237753.5
20250519,14,14200,133924.45,,,,10694.0,,,151312.45,,151312.45
20250528,13,2320,415.0,,,,,,,415.0,,415.0
20250502,13,2830,1458.5,,,,41172.0,,,42630.5,,42630.5
20250605,0,3230,2171.0,442014.62,,,,,996508.52,73103.29,,1069611.81
20250522,15,4890,1520.0,,,,17583.0,,4792.0,25202.35,,29994.35
20250517,9,13200,3757.2,401.0,,,,,,4158.2,,4158.2
20250606,8,5310,510.0,,,,,,,20142.23,,20142.23
20250527,15,14646,667.5,,,,,,,667.5,,667.5
20250503,6,15820,1805.5,,,,,,,1805.5,,1805.5
20250509,15,3800,10278.63,,1678.32,,30279.0,,370774.32,69080.63,,442638.11
20250523,4,14420,329.0,945.0,,,2092.4,,1494.0,4980.8,,6474.8
20250504,0,15600,1391.5,2973.5,,,5394.0,,10269.5,7980.5,,18250.0
20250509,2,6030,2098.99,1155.0,,,,,83596.0,2313.99,,85909.99
20250518,15,11950,84330.6,,,,,,2612.79,84330.6,,86943.39
20250531,14,7020,3018.3,6170.7,,,6372.83,,6170.7,9391.13,,15561.83
20250509,0,7760,25209.13,431932.77,,,2944.5,,1197234.63,655362.33,,1852596.96
20250601,14,3660,8751.15,,,,30870.63,,,39621.78,,39621.78
20250526,0,9780,,60747.35,,,1679.0,,65247.35,31270.27,,96517.62
20250610,8,14700,6504.0,394.0,,,6158.66,,,13056.66,,13056.66
